Model,AUROC,AUPRC,Accuracy,Precision,Recall,F1,Brier
LR (Structured),0.8157490706828117,0.5666177895709558,0.7684870188003581,0.46727376209447924,0.6969439728353141,0.5594548551959114,0.16875884825929066
RF (Structured),0.8149736605177055,0.573362997805649,0.776544315129812,0.4785276073619632,0.6621392190152802,0.5555555555555556,0.15852910881882504
LR (Text),0.5090988137023865,0.21423643972619438,0.22864816472694718,0.21425963118495528,0.9961799660441426,0.3526671675432006,0.24966461197877546
RF (Text),0.5105940618471232,0.21451488050443857,0.23008057296329454,0.21452084857351866,0.9957555178268251,0.35299428227505264,0.24845600209939467
MLP (Fusion),0.818444129053832,0.5891713636475882,0.8306177260519249,0.6993127147766323,0.3455008488964346,0.4625,0.12352959750621995
